study_accession,sample_accession,experiment_accession,Run,Assay.Type,sample_title
PRJEB6070,SAMEA2467025,ERX444848,ERR479016,WGS,Human stool sample
PRJEB6070,SAMEA2467025,ERX444849,ERR479017,WGS,Human stool sample
PRJEB6070,SAMEA2466940,ERX444850,ERR479018,WGS,Human stool sample
PRJEB6070,SAMEA2466940,ERX444851,ERR479019,WGS,Human stool sample
PRJEB6070,SAMEA2466940,ERX444852,ERR479020,WGS,Human stool sample
PRJEB6070,SAMEA2466940,ERX444853,ERR479021,WGS,Human stool sample
PRJEB6070,SAMEA2467010,ERX444854,ERR479022,WGS,Human stool sample
PRJEB6070,SAMEA2467010,ERX444855,ERR479023,WGS,Human stool sample
PRJEB6070,SAMEA2467000,ERX444856,ERR479024,WGS,Human stool sample
PRJEB6070,SAMEA2467000,ERX444857,ERR479025,WGS,Human stool sample
PRJEB6070,SAMEA2467000,ERX444858,ERR479026,WGS,Human stool sample
PRJEB6070,SAMEA2467000,ERX444859,ERR479027,WGS,Human stool sample
PRJEB6070,SAMEA2467000,ERX444860,ERR479028,WGS,Human stool sample
PRJEB6070,SAMEA2466973,ERX444861,ERR479029,WGS,Human stool sample
PRJEB6070,SAMEA2466973,ERX444862,ERR479030,WGS,Human stool sample
PRJEB6070,SAMEA2466973,ERX444863,ERR479031,WGS,Human stool sample
PRJEB6070,SAMEA2466973,ERX444864,ERR479032,WGS,Human stool sample
PRJEB6070,SAMEA2467011,ERX444865,ERR479033,WGS,Human stool sample
PRJEB6070,SAMEA2467011,ERX444866,ERR479034,WGS,Human stool sample
PRJEB6070,SAMEA2467011,ERX444867,ERR479035,WGS,Human stool sample
PRJEB6070,SAMEA2467011,ERX444868,ERR479036,WGS,Human stool sample
PRJEB6070,SAMEA2466941,ERX444869,ERR479037,WGS,Human stool sample
PRJEB6070,SAMEA2466941,ERX444870,ERR479038,WGS,Human stool sample
PRJEB6070,SAMEA2467009,ERX444871,ERR479039,WGS,Human stool sample
PRJEB6070,SAMEA2467009,ERX444872,ERR479040,WGS,Human stool sample
PRJEB6070,SAMEA2466888,ERX444873,ERR479041,WGS,Human stool sample
PRJEB6070,SAMEA2466888,ERX444874,ERR479042,WGS,Human stool sample
PRJEB6070,SAMEA2466961,ERX444875,ERR479043,WGS,Human stool sample
PRJEB6070,SAMEA2466961,ERX444876,ERR479044,WGS,Human stool sample
PRJEB6070,SAMEA2467017,ERX444877,ERR479045,WGS,Human stool sample
PRJEB6070,SAMEA2467017,ERX444878,ERR479046,WGS,Human stool sample
PRJEB6070,SAMEA2467017,ERX444879,ERR479047,WGS,Human stool sample
PRJEB6070,SAMEA2467017,ERX444880,ERR479048,WGS,Human stool sample
PRJEB6070,SAMEA2466890,ERX444881,ERR479049,WGS,Human stool sample
PRJEB6070,SAMEA2466890,ERX444882,ERR479050,WGS,Human stool sample
PRJEB6070,SAMEA2466890,ERX444883,ERR479051,WGS,Human stool sample
PRJEB6070,SAMEA2466890,ERX444884,ERR479052,WGS,Human stool sample
PRJEB6070,SAMEA2466904,ERX444885,ERR479053,WGS,Human stool sample
PRJEB6070,SAMEA2466904,ERX444886,ERR479054,WGS,Human stool sample
PRJEB6070,SAMEA2466904,ERX444887,ERR479055,WGS,Human stool sample
PRJEB6070,SAMEA2466904,ERX444888,ERR479056,WGS,Human stool sample
PRJEB6070,SAMEA2466893,ERX444889,ERR479057,WGS,Human stool sample
PRJEB6070,SAMEA2466893,ERX444890,ERR479058,WGS,Human stool sample
PRJEB6070,SAMEA2467027,ERX444891,ERR479059,WGS,Human stool sample
PRJEB6070,SAMEA2467027,ERX444892,ERR479060,WGS,Human stool sample
PRJEB6070,SAMEA2467027,ERX444893,ERR479061,WGS,Human stool sample
PRJEB6070,SAMEA2467027,ERX444894,ERR479062,WGS,Human stool sample
PRJEB6070,SAMEA2466903,ERX444895,ERR479063,WGS,Human stool sample
PRJEB6070,SAMEA2466903,ERX444896,ERR479064,WGS,Human stool sample
PRJEB6070,SAMEA2466942,ERX444897,ERR479065,WGS,Human stool sample
PRJEB6070,SAMEA2466942,ERX444898,ERR479066,WGS,Human stool sample
PRJEB6070,SAMEA2466910,ERX444899,ERR479067,WGS,Human stool sample
PRJEB6070,SAMEA2466910,ERX444900,ERR479068,WGS,Human stool sample
PRJEB6070,SAMEA2466910,ERX444901,ERR479069,WGS,Human stool sample
PRJEB6070,SAMEA2466910,ERX444902,ERR479070,WGS,Human stool sample
PRJEB6070,SAMEA2466997,ERX444903,ERR479071,WGS,Human stool sample
PRJEB6070,SAMEA2466997,ERX444904,ERR479072,WGS,Human stool sample
PRJEB6070,SAMEA2466997,ERX444905,ERR479073,WGS,Human stool sample
PRJEB6070,SAMEA2466997,ERX444906,ERR479074,WGS,Human stool sample
PRJEB6070,SAMEA2467003,ERX444907,ERR479075,WGS,Human stool sample
PRJEB6070,SAMEA2467003,ERX444908,ERR479076,WGS,Human stool sample
PRJEB6070,SAMEA2466957,ERX444909,ERR479077,WGS,Human stool sample
PRJEB6070,SAMEA2466957,ERX444910,ERR479078,WGS,Human stool sample
PRJEB6070,SAMEA2467030,ERX444911,ERR479079,WGS,Human stool sample
PRJEB6070,SAMEA2467030,ERX444912,ERR479080,WGS,Human stool sample
PRJEB6070,SAMEA2467030,ERX444913,ERR479081,WGS,Human stool sample
PRJEB6070,SAMEA2467030,ERX444914,ERR479082,WGS,Human stool sample
PRJEB6070,SAMEA2466987,ERX444915,ERR479083,WGS,Human stool sample
PRJEB6070,SAMEA2466987,ERX444916,ERR479084,WGS,Human stool sample
PRJEB6070,SAMEA2466929,ERX444917,ERR479085,WGS,Human stool sample
PRJEB6070,SAMEA2466929,ERX444918,ERR479086,WGS,Human stool sample
PRJEB6070,SAMEA2466929,ERX444919,ERR479087,WGS,Human stool sample
PRJEB6070,SAMEA2466943,ERX444920,ERR479088,WGS,Human stool sample
PRJEB6070,SAMEA2466943,ERX444921,ERR479089,WGS,Human stool sample
PRJEB6070,SAMEA2466943,ERX444922,ERR479090,WGS,Human stool sample
PRJEB6070,SAMEA2466887,ERX444923,ERR479091,WGS,Human stool sample
PRJEB6070,SAMEA2466887,ERX444924,ERR479092,WGS,Human stool sample
PRJEB6070,SAMEA2466900,ERX444925,ERR479093,WGS,Human stool sample
PRJEB6070,SAMEA2466900,ERX444926,ERR479094,WGS,Human stool sample
PRJEB6070,SAMEA2466900,ERX444927,ERR479095,WGS,Human stool sample
PRJEB6070,SAMEA2466900,ERX444928,ERR479096,WGS,Human stool sample
PRJEB6070,SAMEA2466939,ERX444929,ERR479097,WGS,Human stool sample
PRJEB6070,SAMEA2466939,ERX444930,ERR479098,WGS,Human stool sample
PRJEB6070,SAMEA2466907,ERX444931,ERR479099,WGS,Human stool sample
PRJEB6070,SAMEA2466907,ERX444932,ERR479100,WGS,Human stool sample
PRJEB6070,SAMEA2466933,ERX444933,ERR479101,WGS,Human stool sample
PRJEB6070,SAMEA2466933,ERX444934,ERR479102,WGS,Human stool sample
PRJEB6070,SAMEA2466971,ERX444935,ERR479103,WGS,Human stool sample
PRJEB6070,SAMEA2466971,ERX444936,ERR479104,WGS,Human stool sample
PRJEB6070,SAMEA2466959,ERX444937,ERR479105,WGS,Human stool sample
PRJEB6070,SAMEA2466959,ERX444938,ERR479106,WGS,Human stool sample
PRJEB6070,SAMEA2466897,ERX444939,ERR479107,WGS,Human stool sample
PRJEB6070,SAMEA2466897,ERX444940,ERR479108,WGS,Human stool sample
PRJEB6070,SAMEA2466897,ERX444941,ERR479109,WGS,Human stool sample
PRJEB6070,SAMEA2466897,ERX444942,ERR479110,WGS,Human stool sample
PRJEB6070,SAMEA2466972,ERX444943,ERR479111,WGS,Human stool sample
PRJEB6070,SAMEA2466972,ERX444944,ERR479112,WGS,Human stool sample
PRJEB6070,SAMEA2466972,ERX444945,ERR479113,WGS,Human stool sample
PRJEB6070,SAMEA2466972,ERX444946,ERR479114,WGS,Human stool sample
PRJEB6070,SAMEA2466944,ERX444947,ERR479115,WGS,Human stool sample
PRJEB6070,SAMEA2466944,ERX444948,ERR479116,WGS,Human stool sample
PRJEB6070,SAMEA2466944,ERX444949,ERR479117,WGS,Human stool sample
PRJEB6070,SAMEA2467015,ERX444950,ERR479118,WGS,Human stool sample
PRJEB6070,SAMEA2467015,ERX444951,ERR479119,WGS,Human stool sample
PRJEB6070,SAMEA2467015,ERX444952,ERR479120,WGS,Human stool sample
PRJEB6070,SAMEA2467015,ERX444953,ERR479121,WGS,Human stool sample
PRJEB6070,SAMEA2466953,ERX444954,ERR479122,WGS,Human stool sample
PRJEB6070,SAMEA2466953,ERX444955,ERR479123,WGS,Human stool sample
PRJEB6070,SAMEA2466996,ERX444956,ERR479124,WGS,Human stool sample
PRJEB6070,SAMEA2466996,ERX444957,ERR479125,WGS,Human stool sample
PRJEB6070,SAMEA2466996,ERX444958,ERR479126,WGS,Human stool sample
PRJEB6070,SAMEA2466996,ERX444959,ERR479127,WGS,Human stool sample
PRJEB6070,SAMEA2467018,ERX444960,ERR479128,WGS,Human stool sample
PRJEB6070,SAMEA2467018,ERX444961,ERR479129,WGS,Human stool sample
PRJEB6070,SAMEA2467018,ERX444962,ERR479130,WGS,Human stool sample
PRJEB6070,SAMEA2467018,ERX444963,ERR479131,WGS,Human stool sample
PRJEB6070,SAMEA2467024,ERX444964,ERR479132,WGS,Human stool sample
PRJEB6070,SAMEA2467024,ERX444965,ERR479133,WGS,Human stool sample
PRJEB6070,SAMEA2467024,ERX444966,ERR479134,WGS,Human stool sample
PRJEB6070,SAMEA2467024,ERX444967,ERR479135,WGS,Human stool sample
PRJEB6070,SAMEA2466952,ERX444968,ERR479136,WGS,Human stool sample
PRJEB6070,SAMEA2466952,ERX444969,ERR479137,WGS,Human stool sample
PRJEB6070,SAMEA2466984,ERX444970,ERR479138,WGS,Human stool sample
PRJEB6070,SAMEA2466984,ERX444971,ERR479139,WGS,Human stool sample
PRJEB6070,SAMEA2466916,ERX444972,ERR479140,WGS,Human stool sample
PRJEB6070,SAMEA2466916,ERX444973,ERR479141,WGS,Human stool sample
PRJEB6070,SAMEA2466931,ERX444974,ERR479142,WGS,Human stool sample
PRJEB6070,SAMEA2466931,ERX444975,ERR479143,WGS,Human stool sample
PRJEB6070,SAMEA2466931,ERX444976,ERR479144,WGS,Human stool sample
PRJEB6070,SAMEA2466931,ERX444977,ERR479145,WGS,Human stool sample
PRJEB6070,SAMEA2466998,ERX444978,ERR479146,WGS,Human stool sample
PRJEB6070,SAMEA2466998,ERX444979,ERR479147,WGS,Human stool sample
PRJEB6070,SAMEA2466947,ERX444980,ERR479148,WGS,Human stool sample
PRJEB6070,SAMEA2466947,ERX444981,ERR479149,WGS,Human stool sample
PRJEB6070,SAMEA2467037,ERX444982,ERR479150,WGS,Human stool sample
PRJEB6070,SAMEA2467037,ERX444983,ERR479151,WGS,Human stool sample
PRJEB6070,SAMEA2467037,ERX444984,ERR479152,WGS,Human stool sample
PRJEB6070,SAMEA2467037,ERX444985,ERR479153,WGS,Human stool sample
PRJEB6070,SAMEA2466974,ERX444986,ERR479154,WGS,Human stool sample
PRJEB6070,SAMEA2466974,ERX444987,ERR479155,WGS,Human stool sample
PRJEB6070,SAMEA2466974,ERX444988,ERR479156,WGS,Human stool sample
PRJEB6070,SAMEA2467038,ERX444989,ERR479157,WGS,Human stool sample
PRJEB6070,SAMEA2467038,ERX444990,ERR479158,WGS,Human stool sample
PRJEB6070,SAMEA2467038,ERX444991,ERR479159,WGS,Human stool sample
PRJEB6070,SAMEA2467038,ERX444992,ERR479160,WGS,Human stool sample
PRJEB6070,SAMEA2466905,ERX444993,ERR479161,WGS,Human stool sample
PRJEB6070,SAMEA2466966,ERX444994,ERR479162,WGS,Human stool sample
PRJEB6070,SAMEA2466966,ERX444995,ERR479163,WGS,Human stool sample
PRJEB6070,SAMEA2466966,ERX444996,ERR479164,WGS,Human stool sample
PRJEB6070,SAMEA2466989,ERX444997,ERR479165,WGS,Human stool sample
PRJEB6070,SAMEA2466989,ERX444998,ERR479166,WGS,Human stool sample
PRJEB6070,SAMEA2466901,ERX444999,ERR479167,WGS,Human stool sample
PRJEB6070,SAMEA2466901,ERX445000,ERR479168,WGS,Human stool sample
PRJEB6070,SAMEA2466979,ERX445001,ERR479169,WGS,Human stool sample
PRJEB6070,SAMEA2466979,ERX445002,ERR479170,WGS,Human stool sample
PRJEB6070,SAMEA2466979,ERX445003,ERR479171,WGS,Human stool sample
PRJEB6070,SAMEA2466979,ERX445004,ERR479172,WGS,Human stool sample
PRJEB6070,SAMEA2467002,ERX445005,ERR479173,WGS,Human stool sample
